drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline,spearman_resid_p2
JNK Inhibitor VIII,21,0.6168831168831169,0.6324675324675325,0.43376623376623374,-1.0,0.36883116883116884
JQ1,21,0.448051948051948,0.5116883116883117,0.464935064935065,-1.0,0.22987012987012984
KU-55933,21,0.13376623376623376,0.21038961038961035,0.12207792207792208,-1.0,0.07792207792207792
L-Oxonoreleagnine,19,0.3333333333333333,0.3614035087719299,0.07894736842105264,-1.0,0.03508771929824562
LCL161,20,0.17593984962406017,0.2045112781954887,0.010526315789473682,-1.0,0.1413533834586466
LGK974,21,0.3571428571428571,0.4194805194805195,0.3220779220779221,-1.0,0.4194805194805195
LJI308,21,0.40259740259740256,0.45454545454545453,0.35844155844155845,-1.0,0.29740259740259745
LMP744,19,0.014035087719298246,0.0894736842105263,-0.3456140350877193,-1.0,-0.41052631578947374
LY2109761,20,0.4451127819548871,0.4451127819548871,0.19248120300751878,-1.0,0.07518796992481201
Lapatinib,21,0.051948051948051945,0.20649350649350648,0.059740259740259746,-1.0,0.022077922077922082
Leflunomide,20,0.3969924812030075,0.42556390977443603,0.24661654135338343,-1.0,0.3924812030075188
Lenalidomide,21,0.4753246753246753,0.49350649350649345,0.44285714285714284,-1.0,0.4324675324675325
Lestaurtinib,21,0.2350649350649351,0.29480519480519485,-0.12467532467532469,-1.0,-0.1155844155844156
Linsitinib,21,0.39610389610389607,0.5194805194805194,0.33506493506493507,-1.0,0.34675324675324676
Luminespib,21,0.3051948051948052,0.37142857142857144,-0.17272727272727273,-1.0,-0.10389610389610389
MG-132,21,0.033766233766233764,0.14675324675324675,-0.04935064935064935,-1.0,0.1922077922077922
MIM1,20,0.060150375939849614,0.08421052631578946,-0.08571428571428572,-1.0,-0.04962406015037594
MIRA-1,21,0.5688311688311689,0.5987012987012986,0.44285714285714284,-1.0,0.2584415584415584
MK-1775,21,0.07532467532467534,0.21818181818181817,-0.3974025974025974,-1.0,-0.4974025974025974
MK-2206,21,0.029870129870129873,0.15064935064935067,0.1974025974025974,-1.0,0.12857142857142856
MK-8776,21,0.07402597402597402,0.18051948051948052,-0.16233766233766234,-1.0,-0.11428571428571428
ML323,20,0.35939849624060144,0.4270676691729323,0.2857142857142857,-1.0,0.38345864661654133
MN-64,20,0.5278195488721804,0.5834586466165413,0.40451127819548865,-1.0,0.38496240601503756
Methotrexate,20,0.09323308270676692,0.28421052631578947,0.22406015037593985,-1.0,0.4466165413533834
Mirin,20,0.4977443609022556,0.5203007518796992,0.37293233082706767,-1.0,0.45563909774436084
Mitoxantrone,19,0.30701754385964913,0.4859649122807017,-0.15087719298245614,-1.0,-0.2070175438596491
Motesanib,21,0.40259740259740256,0.4311688311688312,0.21168831168831168,-1.0,0.24025974025974026
Mycophenolic acid,20,0.05263157894736842,0.17744360902255638,0.006015037593984962,-1.0,-0.12932330827067667
N-acetyl cysteine,20,0.06616541353383458,0.13684210526315788,0.35939849624060144,-1.0,0.4300751879699248
NU7441,21,-0.22337662337662337,-0.12467532467532469,-0.14415584415584418,-1.0,-0.12857142857142856
NVP-ADW742,21,0.30129870129870134,0.3922077922077922,0.2194805194805195,-1.0,0.16883116883116883
Navitoclax,21,-0.20649350649350648,0.02077922077922078,-0.16103896103896104,-1.0,-0.28181818181818186
Nelarabine,19,0.3526315789473684,0.3526315789473684,0.356140350877193,-1.0,0.30877192982456136
Nilotinib,21,-0.24415584415584415,-0.11688311688311687,-0.2753246753246753,-1.0,-0.2935064935064935
Niraparib,20,0.28421052631578947,0.3142857142857143,-0.0781954887218045,-1.0,-0.05413533834586466
OF-1,20,0.29323308270676685,0.4120300751879699,0.45714285714285713,-1.0,0.5398496240601504
OSI-027,21,0.1012987012987013,0.20649350649350648,0.22207792207792207,-1.0,0.21818181818181817
OTX015,20,0.39097744360902253,0.5593984962406015,0.362406015037594,-1.0,0.2300751879699248
Obatoclax Mesylate,20,-0.15939849624060148,0.024060150375939848,-0.16691729323308271,-1.0,-0.21804511278195485
Olaparib,21,0.2987012987012987,0.32597402597402597,-0.014285714285714285,-1.0,0.1948051948051948
Osimertinib,21,0.21428571428571425,0.34155844155844156,0.23766233766233766,-1.0,0.14675324675324675
Oxaliplatin,40,0.2951836562223459,0.3840955272282497,0.33669794155697125,-0.9187365750515794,0.35904431916170054
P22077,21,0.20909090909090908,0.22337662337662337,0.15584415584415584,-1.0,0.04025974025974026
PCI-34051,20,0.09323308270676692,0.16541353383458643,0.12781954887218044,-1.0,0.10977443609022557
PD0325901,21,0.5493506493506494,0.5779220779220778,0.6558441558441558,-1.0,0.7948051948051948
PD173074,21,-0.006493506493506493,0.04025974025974026,-0.20519480519480518,-1.0,-0.11168831168831168
PF-4708671,20,0.11578947368421053,0.14887218045112782,0.11127819548872178,-1.0,0.30225563909774433
PFI-1,21,0.1077922077922078,0.2025974025974026,0.04025974025974026,-1.0,0.13116883116883118
PFI3,20,0.23157894736842105,0.26917293233082706,0.28421052631578947,-1.0,0.2421052631578947
PLX-4720,21,0.3948051948051948,0.47922077922077916,0.13376623376623376,-1.0,0.24415584415584415
POMHEX,19,0.04035087719298246,0.1456140350877193,-0.16315789473684209,-1.0,-0.14210526315789473
PRIMA-1MET,20,-0.14887218045112782,-0.048120300751879695,0.08571428571428572,-1.0,0.1263157894736842
PRT062607,20,0.05413533834586466,0.20150375939849624,0.048120300751879695,-1.0,-0.23458646616541348
Paclitaxel,21,0.43636363636363634,0.5064935064935064,0.17272727272727273,-1.0,0.09220779220779221
Palbociclib,21,0.04025974025974026,0.07012987012987014,-0.13896103896103898,-1.0,-0.07792207792207792
Pevonedistat,21,0.07532467532467534,0.1753246753246753,-0.04675324675324675,-1.0,-0.062337662337662345
Pictilisib,21,-0.2350649350649351,-0.02727272727272727,0.39610389610389607,-1.0,0.34155844155844156
Podophyllotoxin bromide,19,0.46842105263157896,0.5596491228070175,0.07894736842105264,-1.0,0.13333333333333333
Pyridostatin,21,0.08441558441558442,0.20909090909090908,-0.11428571428571428,-1.0,0.05064935064935065
RO-3306,21,-0.08961038961038961,-0.03636363636363636,-0.18051948051948052,-1.0,-0.24935064935064938
RVX-208,20,0.13533834586466165,0.23458646616541348,0.21353383458646616,-1.0,0.2857142857142857
Rapamycin,21,-0.40389610389610386,-0.3246753246753247,-0.0961038961038961,-1.0,-0.15844155844155844
Refametinib,21,0.509090909090909,0.6220779220779221,0.4883116883116883,-1.0,0.7896103896103897
Remodelin,10,0.04242424242424241,0.24848484848484845,0.09090909090909088,-0.9999999999999999,-0.05454545454545454
Ribociclib,20,0.045112781954887216,0.19849624060150375,0.04210526315789473,-1.0,0.09323308270676692
Romidepsin,19,0.1842105263157895,0.28596491228070176,0.005263157894736842,-1.0,0.14210526315789473
Rucaparib,21,0.2532467532467532,0.28051948051948056,0.10259740259740259,-1.0,0.1961038961038961
Ruxolitinib,20,0.45714285714285713,0.4661654135338345,0.20300751879699244,-1.0,0.03157894736842105
SB216763,21,0.5025974025974026,0.5584415584415584,0.24675324675324672,-1.0,0.2532467532467532
SB590885,21,0.38311688311688313,0.42337662337662335,0.17272727272727273,-1.0,0.22337662337662337
SCH772984,21,0.032467532467532464,0.2532467532467532,-0.025974025974025972,-1.0,0.059740259740259746
SGC-CBP30,19,0.2982456140350877,0.31052631578947365,0.1649122807017544,-1.0,0.13859649122807016
SGC0946,21,-0.13246753246753248,-0.1,0.06103896103896104,-1.0,0.06103896103896104
SN-38,20,0.10225563909774435,0.18496240601503755,-0.31729323308270674,-1.0,-0.18646616541353384
Sabutoclax,20,0.3744360902255639,0.6060150375939849,-0.21353383458646616,-1.0,-0.24661654135338343
Sapitinib,21,0.287012987012987,0.38311688311688313,0.35454545454545455,-1.0,0.35584415584415585
Savolitinib,21,0.3532467532467533,0.37532467532467534,0.23636363636363636,-1.0,0.04155844155844156
Schweinfurthin A,19,0.32631578947368417,0.39473684210526316,0.356140350877193,-1.0,0.32280701754385965
Selumetinib,40,0.5101170988508156,0.573400537949923,0.4043943207712981,-0.9386417517415062,0.6077651354429099
Sepantronium bromide,21,-0.1,0.0961038961038961,0.032467532467532464,-1.0,-0.00909090909090909
Serdemetan,21,0.29480519480519485,0.3649350649350649,0.1155844155844156,-1.0,0.2532467532467532
Sinularin,19,0.2631578947368421,0.34912280701754383,0.1842105263157895,-1.0,0.3017543859649123
Sorafenib,21,-0.10389610389610389,0.12857142857142856,0.0,-1.0,-0.22467532467532467
Staurosporine,21,0.04675324675324675,0.14025974025974028,-0.212987012987013,-1.0,-0.14415584415584418
TW 37,10,0.33333333333333326,0.4666666666666666,0.3696969696969697,-0.9999999999999999,0.06666666666666665
Talazoparib,21,-0.17792207792207793,-0.09480519480519481,-0.3532467532467533,-1.0,-0.4311688311688312
Tamoxifen,21,0.36233766233766235,0.42727272727272725,0.2896103896103896,-1.0,0.2571428571428571
Tanespimycin,21,0.00909090909090909,0.2701298701298701,-0.08571428571428572,-1.0,-0.04155844155844156
Taselisib,21,0.16103896103896104,0.34025974025974026,0.35584415584415585,-1.0,0.22727272727272727
Telomerase Inhibitor IX,21,0.21168831168831168,0.27792207792207796,0.10259740259740259,-1.0,0.05064935064935065
Temozolomide,21,0.37922077922077924,0.42207792207792205,0.32987012987012987,-1.0,0.3090909090909091
Temsirolimus,21,-0.35194805194805195,-0.212987012987013,0.06103896103896104,-1.0,0.00909090909090909
Teniposide,19,0.2614035087719298,0.38070175438596493,-0.1649122807017544,-1.0,-0.1280701754385965
Topotecan,19,0.07719298245614034,0.21228070175438596,-0.2631578947368421,-1.0,-0.27017543859649124
Tozasertib,20,-0.22857142857142856,-0.060150375939849614,-0.23759398496240602,-1.0,-0.38195488721804516
Trametinib,21,0.5818181818181818,0.6467532467532467,0.5194805194805194,-1.0,0.7688311688311688
