drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline
PRIMA-1MET,20,-0.17142857142857143,-0.060150375939849614,0.05413533834586466,-1.0
PRT062607,20,0.10676691729323308,0.2827067669172932,0.07368421052631578,-1.0
Paclitaxel,21,0.5181818181818182,0.5571428571428572,0.21168831168831168,-1.0
Palbociclib,21,0.09220779220779221,0.12337662337662336,-0.13246753246753248,-1.0
Pevonedistat,21,0.029870129870129873,0.14675324675324675,-0.1,-1.0
Pictilisib,21,-0.20519480519480518,-0.029870129870129873,0.3922077922077922,-1.0
Podophyllotoxin bromide,19,0.38596491228070173,0.531578947368421,0.042105263157894736,-1.0
Pyridostatin,21,0.12727272727272726,0.1987012987012987,-0.1155844155844156,-1.0
RO-3306,21,-0.10389610389610389,-0.045454545454545456,-0.1909090909090909,-1.0
RVX-208,20,0.15037593984962402,0.2300751879699248,0.31127819548872177,-1.0
Rapamycin,21,-0.4506493506493507,-0.274025974025974,-0.16883116883116883,-1.0
Refametinib,21,0.448051948051948,0.6077922077922078,0.47922077922077916,-1.0
Remodelin,10,0.05454545454545454,0.2727272727272727,0.06666666666666665,-0.9999999999999999
Ribociclib,20,0.11578947368421053,0.17744360902255638,0.045112781954887216,-1.0
Romidepsin,19,0.20526315789473687,0.2719298245614035,-0.019298245614035085,-1.0
Rucaparib,21,0.2961038961038961,0.37792207792207794,0.13376623376623376,-1.0
Ruxolitinib,20,0.47067669172932325,0.4977443609022556,0.19999999999999998,-1.0
SB216763,21,0.503896103896104,0.574025974025974,0.2753246753246753,-1.0
SB590885,21,0.3701298701298701,0.41298701298701296,0.12467532467532469,-1.0
SCH772984,21,0.04935064935064935,0.2714285714285714,0.022077922077922082,-1.0
SGC-CBP30,19,0.3333333333333333,0.37719298245614036,0.19298245614035087,-1.0
SGC0946,21,-0.0935064935064935,-0.02727272727272727,0.08051948051948052,-1.0
SN-38,20,0.06165413533834586,0.18345864661654135,-0.35187969924812035,-1.0
