drug,n_cells,spearman_model,spearman_resid,spearman_baseline
WIKI4,21,-0.016883116883116882,0.07402597402597402,-1.0
WZ4003,20,0.15488721804511277,0.3218045112781954,-1.0
Wee1 Inhibitor,21,-0.4974025974025974,-0.34025974025974026,-1.0
Wnt-C59,20,-0.3984962406015037,-0.2300751879699248,-1.0
XAV939,20,0.08421052631578946,0.29172932330827067,-1.0
YK-4-279,21,-0.48441558441558447,-0.2727272727272727,-1.0
ZM447439,21,-0.1922077922077922,-0.016883116883116882,-1.0
Zoledronate,19,-0.028070175438596492,0.07017543859649124,-1.0
alpha-lipoic acid,20,-0.22105263157894736,-0.0631578947368421,-1.0
glutathione,20,-0.12030075187969923,-0.04962406015037594,-1.0
